UNIQ_ID,mod_year,age,hour,drunk_dr,numoccs,deformed,motorcycle,rollover_binary,air_bag_deployed,speedrel_binary,fatality_target
10093_2_1,2014,29,5.0,0,1,6.0,0,0,1,0,1
10093_3_1,2007,45,5.0,0,1,6.0,0,0,1,0,0
10095_2_1,2012,49,8.0,0,5,6.0,0,0,0,0,1
10095_2_2,2012,21,8.0,0,5,6.0,0,0,0,0,0
10095_2_3,2012,10,8.0,0,5,6.0,0,0,0,0,1
10095_2_4,2012,7,8.0,0,5,6.0,0,0,0,0,0
10095_2_5,2012,50,8.0,0,5,6.0,0,0,0,0,1
10096_1_1,2003,34,13.0,1,1,6.0,0,0,0,1,1
10098_1_1,2004,25,19.0,0,1,2.0,0,0,0,0,0
10101_1_1,2006,18,4.0,1,2,6.0,0,1,0,1,1
10101_1_2,2006,17,4.0,1,2,6.0,0,1,0,1,0
10102_1_1,2004,40,3.0,1,1,6.0,0,0,1,1,1
10103_1_1,1990,31,1.0,1,2,6.0,0,0,0,1,0
10103_1_2,1990,25,1.0,1,2,6.0,0,0,0,1,1
10104_1_1,1995,91,15.0,0,2,6.0,0,0,1,0,1
10104_1_2,1995,80,15.0,0,2,6.0,0,0,0,0,1
10104_2_1,2002,53,15.0,0,1,6.0,0,0,0,0,0
10106_1_1,2009,26,23.0,1,1,6.0,0,0,1,1,1
10107_1_1,2002,34,0.0,1,1,6.0,0,0,1,0,1
10107_2_1,2006,51,0.0,1,1,6.0,0,0,1,0,0
10108_1_1,2008,57,19.0,0,1,6.0,0,0,1,0,0
10108_2_1,2005,62,19.0,0,2,6.0,0,0,1,0,1
10108_2_2,2005,19,19.0,0,2,6.0,0,0,1,0,0
10109_1_1,2000,22,10.0,0,1,6.0,0,0,1,0,1
10109_2_1,2006,32,10.0,0,1,6.0,0,0,1,0,0
10109_3_1,2006,25,10.0,0,1,6.0,0,0,1,0,0
10110_1_1,1998,46,16.0,0,1,6.0,1,0,0,0,1
10111_1_1,1996,24,22.0,1,2,6.0,0,1,0,1,1
10111_1_2,1996,21,22.0,1,2,6.0,0,1,0,1,0
10112_1_1,2001,64,1.0,0,1,6.0,0,1,1,0,1
10113_1_1,2004,48,20.0,0,2,6.0,0,0,0,0,0
10113_1_2,2004,49,20.0,0,2,6.0,0,0,0,0,0
10114_2_1,1996,45,22.0,1,1,6.0,0,0,1,0,1
10115_1_1,1997,32,23.0,0,1,6.0,0,1,0,0,1
10116_1_1,2013,49,21.0,0,1,6.0,0,0,1,0,0
10116_2_1,1997,48,21.0,0,2,6.0,1,0,0,0,0
10116_2_2,1997,45,21.0,0,2,6.0,1,0,0,0,1
10117_1_1,2003,21,19.0,0,4,6.0,0,0,0,0,0
10117_1_2,2003,60,19.0,0,4,6.0,0,0,0,0,1
10117_1_3,2003,2,19.0,0,4,6.0,0,0,0,0,0
10117_1_4,2003,60,19.0,0,4,6.0,0,0,0,0,0
10117_2_1,2005,21,19.0,0,1,6.0,0,0,1,0,0
10119_1_1,2003,88,20.0,0,1,6.0,0,0,1,0,1
10119_2_1,2008,22,20.0,0,1,6.0,0,0,1,0,0
10120_1_1,2003,25,13.0,0,1,6.0,0,0,0,1,1
10120_2_1,2008,46,13.0,0,1,6.0,0,0,0,0,0
10121_1_1,2006,22,14.0,0,1,6.0,1,0,0,1,1
10121_2_1,2014,29,14.0,0,2,2.0,0,0,0,0,0
10121_2_2,2014,32,14.0,0,2,2.0,0,0,0,0,0
10122_1_1,2002,58,11.0,0,1,6.0,0,0,1,0,1
10123_1_1,2007,62,7.0,0,1,6.0,0,0,1,0,0
10123_2_1,2012,76,7.0,0,2,6.0,0,1,1,0,1
10123_2_2,2012,73,7.0,0,2,6.0,0,1,1,0,0
10124_1_1,2005,31,10.0,0,1,2.0,0,0,0,0,0
10125_1_3,2000,15,15.0,0,4,6.0,0,0,0,0,0
10125_1_4,2000,17,15.0,0,4,6.0,0,0,0,0,1
10126_1_1,2003,56,12.0,0,1,6.0,0,0,0,0,0
10126_2_1,2006,64,12.0,0,1,6.0,0,1,0,0,1
10127_1_1,2005,76,21.0,0,3,6.0,0,0,0,0,0
10127_1_2,2005,68,21.0,0,3,6.0,0,0,0,0,1
10127_1_3,2005,49,21.0,0,3,6.0,0,0,0,0,1
10127_2_1,2006,24,21.0,0,2,4.0,0,0,0,0,0
10127_2_2,2006,24,21.0,0,2,4.0,0,0,0,0,0
10129_1_1,1999,61,7.0,0,2,6.0,0,0,0,0,1
10130_1_1,2002,62,8.0,0,2,6.0,0,0,1,0,0
10130_1_2,2002,44,8.0,0,2,6.0,0,0,1,0,0
10130_2_1,2005,51,8.0,0,1,6.0,0,0,1,0,1
10131_1_1,1997,35,19.0,0,2,2.0,0,0,0,0,0
10131_1_2,1997,42,19.0,0,2,2.0,0,0,0,0,0
10132_1_1,1996,37,4.0,0,2,6.0,0,0,0,0,0
10132_1_2,1996,57,4.0,0,2,6.0,0,0,0,0,1
10132_2_1,2014,56,4.0,0,1,6.0,0,0,1,0,0
10133_1_1,2015,56,8.0,0,1,6.0,0,0,0,0,0
10134_1_1,2010,18,23.0,0,1,6.0,0,0,1,0,1
10134_2_1,2002,18,23.0,0,1,6.0,0,0,1,0,0
10135_1_1,2001,26,21.0,1,1,6.0,0,0,1,1,1
10135_2_1,2004,61,21.0,1,1,6.0,0,0,1,0,0
10135_3_1,2010,53,21.0,1,1,2.0,0,0,0,0,0
10136_1_1,2013,22,4.0,1,2,6.0,0,0,1,0,1
10136_1_2,2013,22,4.0,1,2,6.0,0,0,1,0,0
10138_1_1,2013,86,19.0,0,1,6.0,0,0,1,0,1
10138_3_1,2001,17,19.0,0,2,6.0,0,1,1,0,0
10138_3_2,2001,15,19.0,0,2,6.0,0,1,1,0,0
10139_1_1,1993,21,11.0,0,1,6.0,0,0,1,0,1
10139_2_1,2008,29,11.0,0,2,6.0,0,0,1,0,0
10139_2_2,2008,0,11.0,0,2,6.0,0,0,0,0,0
10139_3_1,2013,49,11.0,0,1,6.0,0,1,0,0,0
10140_1_1,1999,42,18.0,1,1,6.0,0,0,1,0,1
10140_2_1,2003,51,18.0,1,2,6.0,0,0,1,0,0
10140_2_2,2003,24,18.0,1,2,6.0,0,0,1,0,0
10141_2_1,2008,51,16.0,0,1,6.0,0,0,1,0,1
10141_3_1,2012,53,16.0,0,1,6.0,0,0,0,0,0
10141_4_1,2000,23,16.0,0,1,2.0,0,0,0,0,0
10141_5_1,2007,23,16.0,0,1,6.0,0,0,0,0,0
10141_6_1,2007,45,16.0,0,1,6.0,0,0,0,0,0
10141_7_1,2014,26,16.0,0,1,4.0,0,0,0,0,0
10141_8_1,2015,62,16.0,0,1,6.0,0,0,0,0,0
10141_9_1,2015,26,16.0,0,6,4.0,0,0,0,0,0
10141_9_2,2015,45,16.0,0,6,4.0,0,0,0,0,0
10141_9_3,2015,44,16.0,0,6,4.0,0,0,0,0,0
10141_9_4,2015,73,16.0,0,6,4.0,0,0,0,0,0
10141_9_5,2015,40,16.0,0,6,4.0,0,0,0,0,0
10141_9_6,2015,3,16.0,0,6,4.0,0,0,0,0,0
10142_1_1,1990,56,20.0,1,2,2.0,1,0,0,0,1
10142_1_2,1990,56,20.0,1,2,2.0,1,0,0,0,1
10143_1_1,2005,20,0.0,2,1,6.0,0,0,0,0,0
10144_2_1,2003,36,19.0,1,2,6.0,0,0,1,0,0
10144_2_2,2003,35,19.0,1,2,6.0,0,0,1,0,0
10145_1_1,2000,27,20.0,0,2,6.0,1,0,0,0,1
10145_1_2,2000,24,20.0,0,2,6.0,1,0,0,0,0
10145_2_1,2014,38,20.0,0,1,6.0,0,0,1,0,0
10147_1_1,2006,29,16.0,0,1,6.0,0,0,1,1,1
10148_1_1,2001,25,8.0,0,2,4.0,0,0,0,0,0
10148_1_2,2001,15,8.0,0,2,4.0,0,0,0,0,0
10149_1_1,1993,59,19.0,1,1,6.0,0,0,0,1,1
10150_1_1,2005,69,11.0,0,1,6.0,0,0,1,0,1
10150_2_1,2010,60,11.0,0,1,6.0,0,0,1,0,0
10151_1_1,1966,71,15.0,1,1,6.0,0,0,0,0,1
10152_1_1,2004,50,6.0,0,1,6.0,0,0,1,0,1
10152_2_1,2009,58,6.0,0,1,6.0,0,1,0,0,0
10153_1_1,2004,23,17.0,0,1,6.0,0,0,1,0,0
10153_2_1,2007,44,17.0,0,1,6.0,0,0,1,0,1
10153_3_1,2006,65,17.0,0,1,2.0,0,0,0,0,0
10153_4_1,2007,63,17.0,0,1,6.0,0,0,0,0,0
10153_5_1,2000,65,17.0,0,2,6.0,0,0,0,0,0
10153_5_2,2000,65,17.0,0,2,6.0,0,0,0,0,0
10154_1_1,2006,36,11.0,0,1,6.0,0,0,1,0,1
10155_2_1,2015,53,20.0,0,1,6.0,0,0,0,0,0
10157_1_1,2000,63,5.0,0,1,6.0,0,1,1,0,0
10157_2_1,2010,31,5.0,0,1,6.0,0,0,1,0,1
10158_1_1,2006,17,17.0,0,2,6.0,0,0,0,0,0
10158_1_2,2006,15,17.0,0,2,6.0,0,0,0,0,1
10158_2_1,2007,58,17.0,0,1,6.0,0,0,0,0,0
10161_1_1,2010,27,15.0,0,1,6.0,0,0,0,0,0
10161_2_1,2013,77,15.0,0,2,6.0,0,1,1,0,0
10161_2_2,2013,74,15.0,0,2,6.0,0,1,1,0,1
10163_1_1,2012,24,5.0,0,1,6.0,0,0,1,0,1
10163_2_1,2003,17,5.0,0,1,6.0,0,0,0,0,0
10164_1_1,1994,33,14.0,0,2,6.0,0,0,0,1,0
10165_1_1,1994,47,14.0,0,2,6.0,0,0,0,1,1
10165_1_2,1994,54,14.0,0,2,6.0,0,0,0,1,1
10165_2_1,2011,69,14.0,0,1,6.0,0,0,1,0,0
10167_1_1,2003,23,23.0,1,1,6.0,0,0,1,1,1
10169_1_1,1994,18,12.0,0,2,6.0,0,0,1,0,0
10169_1_2,1994,17,12.0,0,2,6.0,0,0,1,0,1
10169_2_1,2005,22,12.0,0,1,6.0,0,0,1,0,0
10170_1_1,2008,19,20.0,0,2,6.0,0,0,1,0,0
10170_1_2,2008,66,20.0,0,2,6.0,0,0,0,0,1
10170_2_1,2010,51,20.0,0,2,6.0,0,0,1,0,0
10170_2_2,2010,15,20.0,0,2,6.0,0,0,1,0,0
10171_2_1,2002,65,5.0,0,1,6.0,0,0,1,0,0
10172_1_1,2011,30,15.0,0,1,6.0,0,0,1,0,0
10172_2_1,2008,58,15.0,0,15,6.0,0,0,0,0,1
10172_2_2,2008,16,15.0,0,15,6.0,0,0,0,0,0
10172_2_3,2008,7,15.0,0,15,6.0,0,0,0,0,0
